대여소_ID,주소1,주소2,위도,경도,1분기_전체건수,2분기_전체건수,3분기_전체건수,4분기_전체건수,연간_전체건수
ST-3028,서울특별시 은평구 불광동 476-10,,37.627945,126.919769,858,1512,1114,816,4300
ST-3201,서울특별시 은평구 진관동 151-10,,37.628342,126.933815,946,1546,1036,668,4196
ST-2259,서울특별시 은평구 진관동 298-2,,37.656769,126.942009,566,1716,1065,822,4169
ST-469,서울특별시 은평구 진관동 242-14,신도고등학교,37.630016,126.919029,862,1540,990,704,4096
ST-2242,서울특별시 은평구 불광동 70-1,,37.62672,126.929016,628,1176,786,674,3264
ST-1023,서울특별시 은평구 진관동 30-23,상림마을 롯데캐슬2단지 옆,37.645851,126.923798,486,1236,865,672,3259
ST-1490,서울특별시 은평구 진관4로 78-38 은평지웰 테라스,,37.643394,126.932137,570,1250,760,586,3166
ST-1489,서울특별시 은평구 진관4로 48-50,은평뉴타운 상림마을 13단지,37.64209,126.929413,636,1168,762,550,3116
ST-1487,서울특별시 은평구 녹번동 7-4,,37.609447,126.934677,306,1360,736,628,3030
ST-1031,서울특별시 은평구 진관동 149-17,기자촌 사거리,37.63414,126.932343,634,938,702,514,2788
